#RIC,Date[G],Time[G],GMT Offset,Type,Price,Volume,Bid Price,Bid Size,Ask Price,Ask Size
ABCD,26-JUN-2001,12:54:50.712,+2,Trade,57.8,,,,,
ABCD,27-JUN-2001,07:21:25.999,+2,Trade,58.35,,,,,
ABCD,28-JUN-2001,08:47:17.620,+2,Trade,57.72,,,,,
ABCD,29-JUN-2001,07:41:32.426,+2,Trade,59.92,,,,,
ABCD,02-JUL-2001,07:41:14.711,+2,Trade,60.15,,,,,
ABCD,03-JUL-2001,07:33:04.832,+2,Trade,13.95,,,,,
ABCD,04-JUL-2001,07:23:39.654,+2,Trade,60.52,,,,,
ABCD,05-JUL-2001,08:12:22.966,+2,Trade,59.82,,,,,
ABCD,06-JUL-2001,07:40:22.085,+2,Trade,59.27,,,,,
ABCD,09-JUL-2001,07:24:26.463,+2,Trade,58.75,,,,,
ABCD,10-JUL-2001,07:20:38.082,+2,Trade,58.86,,,,,
ABCD,11-JUL-2001,07:47:33.801,+2,Trade,57.65,,,,,
ABCD,12-JUL-2001,08:21:59.642,+2,Trade,58.6,,,,,
ABCD,13-JUL-2001,07:44:43.087,+2,Trade,59.19,,,,,
ABCD,16-JUL-2001,07:25:16.070,+2,Trade,59.03,,,,,
ABCD,17-JUL-2001,07:13:33.634,+2,Trade,58.07,,,,,
ABCD,18-JUL-2001,07:22:32.982,+2,Trade,57.98,,,,,
ABCD,19-JUL-2001,07:24:18.515,+2,Trade,57.31,,,,,
ABCD,20-JUL-2001,07:50:05.870,+2,Trade,57.25,,,,,
ABCD,23-JUL-2001,07:22:00.366,+2,Trade,57.07,,,,,
ABCD,23-JUL-2001,14:27:00.011,+2,Trade,58.19,50,,,,
ABCD,23-JUL-2001,19:36:46.399,+2,Trade,,50,,,,
ABCD,24-JUL-2001,07:23:09.005,+2,Trade,57.54,,,,,
ABCD,25-JUL-2001,07:34:07.303,+2,Trade,56.95,,,,,
ABCD,26-JUL-2001,07:38:58.329,+2,Trade,55.85,,,,,
ABCD,27-JUL-2001,08:43:47.993,+2,Trade,57.31,,,,,
ABCD,30-JUL-2001,07:23:32.696,+2,Trade,54.82,,,,,
ABCD,31-JUL-2001,07:22:39.029,+2,Trade,57.88,,,,,
ABCD,01-AUG-2001,07:42:30.495,+2,Trade,58.5,,,,,
ABCD,02-AUG-2001,08:46:22.808,+2,Trade,58.93,,,,,
ABCD,03-AUG-2001,07:20:22.254,+2,Trade,57.86,,,,,
ABCD,06-AUG-2001,07:25:27.860,+2,Trade,57.62,,,,,
ABCD,07-AUG-2001,08:09:11.050,+2,Trade,57.26,,,,,
ABCD,08-AUG-2001,07:18:17.826,+2,Trade,57.14,,,,,
ABCD,09-AUG-2001,07:35:22.820,+2,Trade,55.74,,,,,
ABCD,09-AUG-2001,10:43:52.385,+2,Trade,55.16,50,,,,
ABCD,09-AUG-2001,10:43:55.336,+2,Trade,55.16,50,,,,
ABCD,09-AUG-2001,20:26:59.693,+2,Trade,,100,,,,
ABCD,10-AUG-2001,07:11:44.676,+2,Trade,55.36,,,,,
ABCD,13-AUG-2001,07:23:56.230,+2,Trade,54.31,,,,,
ABCD,14-AUG-2001,07:18:02.248,+2,Trade,55.22,,,,,
ABCD,15-AUG-2001,07:15:43.642,+2,Trade,54.9,,,,,
ABCD,16-AUG-2001,07:16:49.709,+2,Trade,53.98,,,,,
ABCD,17-AUG-2001,07:18:02.578,+2,Trade,54.05,,,,,
